baseyear,year,month,state,sector,group,subgroup,index,inflation,status
2012,2022,May,All India,Combined,General,General-Overall,171.7,7.04,F
2012,2022,April,All India,Combined,General,General-Overall,170.1,7.79,F
2012,2022,March,All India,Combined,General,General-Overall,167.7,6.95,F
2012,2023,December,All India,Combined,General,General-Overall,185.7,5.69,F
2012,2023,November,All India,Combined,General,General-Overall,186.3,5.55,F
2012,2023,October,All India,Combined,General,General-Overall,185.3,4.87,F
2012,2023,September,All India,Combined,General,General-Overall,184.1,5.02,F
2012,2023,August,All India,Combined,General,General-Overall,186.2,6.83,F
2012,2023,July,All India,Combined,General,General-Overall,186.3,7.44,F
2012,2023,June,All India,Combined,General,General-Overall,181.0,4.87,F
2012,2023,May,All India,Combined,General,General-Overall,179.1,4.31,F
2012,2023,April,All India,Combined,General,General-Overall,178.1,4.70,F
2012,2023,March,All India,Combined,General,General-Overall,177.2,5.66,F
2012,2024,December,All India,Combined,General,General-Overall,195.4,5.22,F
2012,2024,November,All India,Combined,General,General-Overall,196.5,5.48,F
2012,2024,October,All India,Combined,General,General-Overall,196.8,6.21,F
2012,2024,September,All India,Combined,General,General-Overall,194.2,5.49,F
2012,2024,August,All India,Combined,General,General-Overall,193.0,3.65,F
2012,2024,July,All India,Combined,General,General-Overall,193.0,3.60,F
2012,2024,June,All India,Combined,General,General-Overall,190.2,5.08,F
2012,2024,May,All India,Combined,General,General-Overall,187.7,4.80,F
2012,2024,April,All India,Combined,General,General-Overall,186.7,4.83,F
2012,2024,March,All India,Combined,General,General-Overall,185.8,4.85,F
