Year,GDP_Growth_%
YR2008,3.08669805950082
YR2009,7.8618888330338
YR2010,8.49758470165625
YR2011,5.24131620024293
YR2012,5.45638755164772
YR2013,6.38610640091713
YR2014,7.41022760516977
YR2015,7.99625378567987
YR2016,8.25630550176662
YR2017,6.79538341902422
YR2018,6.45385134495295
YR2019,3.87143694070524
YR2020,-5.77772470687303
YR2021,9.68959249191741
YR2022,7.6093649776932
YR2023,7.210224629335
YR2024,7.09927893176518
YR2025,7.56666179284244
