date,cpi_index,iip_index,iip_growth_rate,forex_reserves_usd_mn,usdinr_rate,cpi_yoy_inflation,z_cpi_inflation,z_iip_growth,z_forex,z_usdinr,risk_cpi,risk_iip,risk_forex,risk_usdinr,slowdown_risk_index,components_available
2013-01-01,,107.2,7.2,,54.319173895794414,,,,,,,,,,,0
2013-02-01,,101.4,1.4,,53.77849998474121,,,,,,,,,,,0
2013-03-01,105.5,115.2,15.2,292045.6,54.41233298892067,,,,,,,,,,,0
2013-04-01,106.1,102.6,3.3,293892.1,54.36309068853205,,,,,,,,,,,0
2013-05-01,106.9,106.0,1.0,287897.3,54.89839139192001,,,,,,,,,,,0
2013-06-01,109.3,101.3,-1.0,282452.8,58.09675064086914,,,,,,,,,,,0
2013-07-01,111.0,104.7,3.2,277571.6,59.729869344960086,,,,,,,,,,,0
2013-08-01,112.4,104.3,4.4,275491.6,62.75240915471857,,,,,,,,,,,0
2013-09-01,113.7,105.7,6.8,277233.7,64.0193332490467,,,,,,,,,,,0
2013-10-01,114.8,105.7,1.9,281542.9,61.57000021501021,,,,,,,,,,,0
2013-11-01,116.3,101.9,3.7,290676.7,62.66647611345564,,,,,,,,,,,0
2013-12-01,114.5,110.9,3.5,293876.8,61.821681629527696,,,-0.17255002493440944,,0.8248131104446574,,0.17255002493440944,,0.8248131104446574,0.4986815676895334,2
2014-01-01,,112.3,4.8,,61.99865241672682,,,0.13529683727362504,,0.8126802359528666,,-0.13529683727362504,,0.8126802359528666,0.3386916993396208,2
2014-02-01,,106.7,5.2,,62.140200233459474,,,0.22741206785806062,,0.7982821095272968,,-0.22741206785806062,,0.7982821095272968,0.28543502083461814,2
2014-03-01,114.2,118.5,2.9,304223.2,60.99652390252976,8.24644549763034,,-0.3592996121021127,,0.4835264714147246,,0.3592996121021127,,0.4835264714147246,0.42141304175841865,2
2014-04-01,115.1,106.6,3.9,310986.3,60.31522698835893,8.482563619227147,,-0.08714296883768816,2.003224232490994,0.29321177865148534,,0.08714296883768816,-2.003224232490994,0.29321177865148534,-0.5409564950006068,3
2014-05-01,115.8,111.0,4.7,312207.0,59.26422743363814,8.325537885874645,,0.13206590854308498,1.7383697492621102,0.005795353974500293,,-0.13206590854308498,-1.7383697492621102,0.005795353974500293,-0.621546767943565,3
2014-06-01,116.7,109.7,8.3,316138.0,59.65919022333054,6.770356816102474,,1.0941091053038439,1.7257004086890655,0.11413007731208781,,-1.0941091053038439,-1.7257004086890655,0.11413007731208781,-0.9018931455602739,3
2014-07-01,119.2,110.4,5.4,319808.0,60.01500021893045,7.387387387387401,,0.25917580997613593,1.7038547951577618,0.21185920978040595,,-0.25917580997613593,-1.7038547951577618,0.21185920978040595,-0.583723798451164,3
2014-08-01,120.3,108.0,3.5,318399.7,60.81557155790783,7.028469750889665,,-0.28992991093902803,1.4417357572859026,0.4379763077271037,,0.28992991093902803,-1.4417357572859026,0.4379763077271037,-0.2379431795399236,3
2014-09-01,120.1,110.2,4.3,313841.2,60.806136738170274,5.628847845206675,,-0.04843639405468019,1.0738257749912858,0.42313773615829403,,0.04843639405468019,-1.0738257749912858,0.42313773615829403,-0.20075054825943725,3
2014-10-01,120.1,106.0,0.3,315910.1,61.3033913322117,4.616724738675959,,-1.2069266858578187,1.1261814791159772,0.5611162374721583,,1.2069266858578187,-1.1261814791159772,0.5611162374721583,0.21395381473799993,3
2014-11-01,120.1,109.4,7.4,315558.4,61.63299961090088,3.267411865864145,,0.9138787423647157,1.0414770960128974,0.6451920239941222,,-0.9138787423647157,-1.0414770960128974,0.6451920239941222,-0.43672127146116363,3
2014-12-01,119.4,115.3,4.0,320648.8,62.73634786191194,4.279475982532754,,-0.12083078336585823,1.2673293277899826,0.9589367112467628,,0.12083078336585823,-1.2673293277899826,0.9589367112467628,-0.06252061105912055,3
2015-01-01,,114.3,1.8,,62.203272732821375,,,-0.78068829534108,,0.7624511918656091,,0.78068829534108,,0.7624511918656091,0.7715697436033445,2
2015-02-01,,109.9,3.0,337733.2,62.03385047912597,,,-0.3947389671419271,2.009623353821428,0.6874560986648631,,0.3947389671419271,-2.009623353821428,0.6874560986648631,-0.309142762671546,3
2015-03-01,120.2,121.3,2.4,341638.4,62.459909439086914,5.25394045534151,,-0.5722563728705132,1.9595475667691193,0.8017510031862883,,0.5722563728705132,-1.9595475667691193,0.8017510031862883,-0.19518006357077258,3
2015-04-01,120.7,107.3,0.7,351868.8,62.60036347129128,4.865334491746309,-0.7459941807342703,-1.078510259674079,2.1506258928374913,0.8224844215846867,-0.7459941807342703,1.078510259674079,-2.1506258928374913,0.8224844215846867,-0.24890634807824896,4
2015-05-01,121.6,113.0,1.8,352478.9,63.71614256359282,5.008635578583753,-0.6292382549365243,-0.7049151544663127,1.943630471201881,1.1440006080491725,-0.6292382549365243,0.7049151544663127,-1.943630471201881,1.1440006080491725,-0.18098824090573007,4
