date,forex_reserves_usd_mn
2001-03-01,42281.0
2001-04-01,42526.0
2001-05-01,42991.0
2001-06-01,43454.0
2001-07-01,43730.0
2001-08-01,45358.0
2001-09-01,44877.0
2001-10-01,45256.0
2001-11-01,46891.0
2001-12-01,48112.0
2002-03-01,54106.0
2002-04-01,55870.0
2002-05-01,56779.0
2002-06-01,58693.0
2002-07-01,60607.0
2002-08-01,62140.0
2002-09-01,63620.0
2002-10-01,65159.0
2002-11-01,67578.0
2002-12-01,71110.0
2003-03-01,76100.0
2003-04-01,78325.0
2003-05-01,82308.0
2003-06-01,83221.0
2003-07-01,85551.0
2003-08-01,87306.0
2003-09-01,92339.0
2003-10-01,93803.0
2003-11-01,97400.0
2003-12-01,103151.0
2004-03-01,112959.0
2004-04-01,118490.0
2004-05-01,119379.0
2004-06-01,119511.0
2004-07-01,118385.0
2004-08-01,118154.0
2004-09-01,119579.0
2004-10-01,121337.0
2004-11-01,128226.0
2004-12-01,131178.0
2005-03-01,141514.0
2005-04-01,141841.0
2005-05-01,138857.0
2005-06-01,138370.0
2005-07-01,140542.0
2005-08-01,144079.0
2005-09-01,143059.0
2005-10-01,143573.0
2005-11-01,142821.0
2005-12-01,137206.0
2006-03-01,151622.0
2006-04-01,160677.0
2006-05-01,163868.0
2006-06-01,162912.0
2006-07-01,164577.0
2006-08-01,166244.0
2006-09-01,165305.0
2006-10-01,167392.0
2006-11-01,174641.0
2006-12-01,177251.0
2007-03-01,199179.0
2007-04-01,204409.0
2007-05-01,208068.0
2007-06-01,213362.0
2007-07-01,227107.0
2007-08-01,228847.0
2007-09-01,247762.0
2007-10-01,264692.0
2007-11-01,273520.0
2007-12-01,275316.0
2008-03-01,309723.0
2008-04-01,314155.0
2008-05-01,314614.0
2008-06-01,312087.0
2008-07-01,306176.0
2008-08-01,295309.0
2008-09-01,286336.0
2008-10-01,252883.0
2008-11-01,247686.0
2008-12-01,255968.0
2009-03-01,251985.0
2009-04-01,251702.0
2009-05-01,262306.0
2009-06-01,265142.0
2009-07-01,271641.0
2009-08-01,277252.0
2009-09-01,281278.0
2009-10-01,284391.0
2009-11-01,288146.0
2009-12-01,283470.0
2010-03-01,279057.0
2010-04-01,279633.0
2010-05-01,273544.0
2010-06-01,275710.0
2010-07-01,284183.0
2010-08-01,283142.0
2010-09-01,292870.0
2010-10-01,297956.0
2010-11-01,292389.0
2010-12-01,297334.0
2011-03-01,304818.0
2011-04-01,313511.0
2011-05-01,311516.0
2011-06-01,315715.0
2011-07-01,319090.0
2011-08-01,321982.0
2011-09-01,311482.0
2011-10-01,316210.0
2011-11-01,307884.0
2011-12-01,296688.0
2012-03-01,294398.0
2012-04-01,294846.0
2012-05-01,286019.0
2012-06-01,289736.0
2012-07-01,288775.0
2012-08-01,290462.0
2012-09-01,294812.0
2012-10-01,295254.0
2012-11-01,294510.0
